% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.556763217e+03 +4.556763217e+03 +4.636243217e+03 +4.636243217e+03 +1.4000e+01 +4.0000e+00 +1.9000e+01 +0.0000e+00 +1.8000e+01 +6.0000e+00 +2.2000e+01 +1.8000e+01 +6.0000e+00 +2.2000e+01 +1.0000e+01 +2.7000e+01 +2.1000e+01 +1.5000e+01 +0.0000e+00 +2.3000e+01 +5.0000e+00 +0.0000e+00 +1.1000e+01 +6.0000e+00
2 +3.941931217e+03 +3.941931217e+03 +4.021411217e+03 +4.021411217e+03 +0.0000e+00 +5.0000e+00 +1.3000e+01 +0.0000e+00 +1.0000e+01 +1.3000e+01 +4.0000e+00 +7.0000e+00 +0.0000e+00 +4.0000e+00 +1.2000e+01 +2.0000e+01 +2.0000e+01 +2.8000e+01 +1.1000e+01 +2.0000e+01 +2.4000e+01 +1.0000e+00 +2.6000e+01 +8.0000e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.240475682e+03 +5.240475682e+03 +5.634955682e+03 +5.634955682e+03 +0.0000e+00 +5.0000e+00 +3.0000e+00 +1.6000e+01 +1.7000e+01 +2.9000e+01 +1.6000e+01 +7.0000e+00 +2.7000e+01 +1.3000e+01 +2.7000e+01 +3.0000e+00 +1.8000e+01 +1.6000e+01 +2.3000e+01 +7.0000e+00 +1.1000e+01 +9.0000e+00 +1.7000e+01 +8.0000e+00
18 +3.327691682e+03 +3.327691682e+03 +3.722171682e+03 +3.722171682e+03 +2.8000e+01 +1.3000e+01 +1.4000e+01 +3.0000e+00 +4.0000e+00 +1.0000e+00 +2.0000e+00 +0.0000e+00 +5.0000e+00 +5.0000e+00 +2.7000e+01 +1.2000e+01 +1.9000e+01 +1.5000e+01 +0.0000e+00 +1.2000e+01 +0.0000e+00 +0.0000e+00 +1.8000e+01 +1.0000e+00
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.682312596e+03 +4.682312596e+03 +4.435202596e+03 +4.435202596e+03 +2.8000e+01 +7.0000e+00 +1.0000e+00 +5.0000e+00 +2.3000e+01 +4.0000e+00 +0.0000e+00 +6.0000e+00 +1.7000e+01 +2.3000e+01 +1.6000e+01 +1.8000e+01 +1.4000e+01 +8.0000e+00 +1.5000e+01 +9.0000e+00 +2.2000e+01 +2.7000e+01 +1.3000e+01 +3.0000e+00
3 +3.844387796e+03 +3.844387796e+03 +3.597277796e+03 +3.597277796e+03 +1.2000e+01 +0.0000e+00 +2.6000e+01 +1.5000e+01 +6.0000e+00 +3.0000e+01 +1.6000e+01 +1.3000e+01 +1.1000e+01 +7.0000e+00 +1.9000e+01 +4.0000e+00 +1.0000e+00 +1.7000e+01 +0.0000e+00 +0.0000e+00 +1.4000e+01 +1.4000e+01 +9.0000e+00 +1.3000e+01
354 +2.494214996e+03 +2.494214996e+03 +2.247104996e+03 +2.247104996e+03 +7.0000e+00 +1.6000e+01 +1.0000e+00 +4.0000e+00 +1.4000e+01 +1.0000e+00 +1.6000e+01 +1.1000e+01 +8.0000e+00 +2.4000e+01 +2.0000e+00 +6.0000e+00 +1.9000e+01 +9.0000e+00 +2.6000e+01 +5.0000e+00 +5.0000e+00 +0.0000e+00 +3.0000e+00 +4.0000e+00
% function evaluation | noise-free fitness - Fopt (-1.520400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
